;date;text;label_cat;loc_dist;loc_for_geocoding;source;source_cf
19;2022-02-23;Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел;Дороги;Кировский;Новаторов б-р 26к2;ПОС;1
20;2022-02-23;Страшно ездить во дворе. Ещё пару дней и можно будет только на автомобиле с гусеничным движителем заехать. Реакция конечно на обращения есть, но почему нельзя это делать не после обращения, а в качестве обычной ежедневной работы, путём расстановки приоритетов, чтобы не писали люди что всё плохо. В суд подавать когда случайно из-за того, что творится во дворах, задену чей-нибудь автомобиль. Делайте для граждан, вы для этого и есть, а не граждане для вас.;Дороги;Пушкинский;Колпинское ш 28к1;ПОС;1
21;2022-02-23;В этом году ни разу не проводилась Уборка территории вокруг дома. Вся Уборка (фото прилагаю) производится силами жильцов, как и обработка ото льда. Прошу 1. разобраться какая организация не проводит вообще никаких работ и когда они начнут регулярно проводиться 2. Я не получил на своё ответное обращение связанное с необходимостью обратиться в прокуратуру с заявлением на организацию, которая прислала фото, по моему ранее оставленному заявлению на эту же тему, с отчётом об уборке совершенно от другого адреса и тем самым фальсифицировала результаты своей деятельности и возможно получила за это деньги;Дороги;Красногвардейский;6-я Жерновская ул 9к1;ПОС;1
22;2022-02-23;Не числятся проезды вдоль дома, нет посылки. За всю зиму один раз трактор проехал после нового года и все. Не посыпались ни разу. Это же невыносимо уже! Что происходит?;Транспорт;Красносельский;Красное Село;ПОС;1
23;2022-02-23;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Невский;Ольминского ул;ПОС;1
24;2022-02-23;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Приморский;Школьная ул;ПОС;1
25;2022-02-23;Колея, что кроссоверы брюхом задевают.;Дороги;Кировский;Ветеранов пр-т 114;ПОС;1
26;2022-02-23;Добрый день! Очень давно не убирали наледь и снег на дороге, во дворе пр.Непокоренных 74, со стороны пр. Непокорённых. Образовался лед и колея, становится практически невозможно проехать и припарковаться. Днище машины буквально шкрябает по ледяным наростам. Неоднократно машины застревали. Примите, пожалуйста, меры. Спасибо.;Дороги;Калининский;Непокоренных пр-т 74;ПОС;1
27;2022-02-23;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Колпинский;Ивановская ул 36;ПОС;1
28;2022-02-23;Не очищена парковка, образовалось колея в которой заостряют автомобили, вечером сильно шумят, как и днём.;Дороги;Кировский;Маршала Жукова пр-т;ПОС;1
29;2022-02-23;Снег не убран у школы 34. Не пройти не проехать;Дороги;Невский;Шотмана ул 12к3;ПОС;1
30;2022-02-23;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Невский;Шотмана ул 4;ПОС;1
