;Unnamed: 0;loc_for_geocoding;Street;Numbers;Toponyms;full_street_name;location_options;addr_to_geocode;only_full_street_name;Location;geometry;date;text;label_cat;loc_dist;source;source_cf;index_right;NAME
0;0;Новаторов б-р 26к2;новаторов;;;бульвар Новаторов  Санкт-Петербург Россия;['бульвар Новаторов  Санкт-Петербург Россия'];бульвар Новаторов  Санкт-Петербург Россия;бульвар Новаторов;бульвар Новаторов, Дачное, округ Дачное, Санкт-Петербург, Северо-Западный федеральный округ, 198217, Россия;POINT (30.24606855 59.84126845);2022-02-23;Бульвар-Новаторов дома 26/2 и 24/2 не убирают территорию,ни пешком,ни на машине проехать не возможно. Машину ремонтирую дважды за зиму,ребенок ходить нормально не может,падает. Как прекратить этот беспредел;Дороги;Кировский;ПОС;1;40.0;Дачное
4;4;Ольминского ул;ольминского;;улица;улица Ольминского  Санкт-Петербург Россия;['улица Ольминского  Санкт-Петербург Россия'];улица Ольминского  Санкт-Петербург Россия;улица Ольминского;улица Ольминского, Смоленское, округ Невская застава, Санкт-Петербург, Северо-Западный федеральный округ, 192029, Россия;POINT (30.418407780785177 59.89693063359678);2022-02-23;Здравствуйте, дороги скользкие, невозможно дойти до помойки, скользко, сколько это может продолжаться?;Дороги;Невский;ПОС;1;43.0;Невская застава
12;12;Школьная ул;школьная;;улица;Школьная улица  Санкт-Петербург Россия;['Школьная улица  Санкт-Петербург Россия'];Школьная улица  Санкт-Петербург Россия;Школьная улица;Школьная улица, Новая Деревня, округ Ланское, Санкт-Петербург, Северо-Западный федеральный округ, 197348, Россия;POINT (30.29228992429409 59.988424577190806);2022-02-23;Не убраны снег и лёд между двумя зданиями паркинга по адресу Школьная 73, к.2 В ответ на обращение 174911658 сообщаю, что работ по уборке снега и льда не было.;Дороги;Приморский;ПОС;1;56.0;Чёрная речка
70;70;Ивановская ул 36;ивановская;36;улица;Ивановская улица 36 Санкт-Петербург Россия;['Ивановская улица 36 Санкт-Петербург Россия'];Ивановская улица 36 Санкт-Петербург Россия;Ивановская улица;36, Ивановская улица, Щемиловка, Ивановский округ, Санкт-Петербург, Северо-Западный федеральный округ, 192171, Россия;POINT (30.43474061918927 59.8718351);2022-02-23;НЕ УБИРАЮТ СНЕГ ВО ДВОРАХ ,УЛИЦА ИВАНОВСКАЯ 36,пройти не возможно .весь снег свалили в одни кучи и теперь эти кучи тают и во дворах все плавает.Почему так сложно сделать все нормально .Приходит жэк и для вида делает фотоотчет какой то маленькой террритории,а то что весь двор не убран -это он на фото не покажет .за что мы платим деньги ?за такую уборку?;Дороги;Колпинский;ПОС;1;91.0;Ивановский
72;72;Шотмана ул 12к3;шотмана;;улица;улица Шотмана  Санкт-Петербург Россия;['улица Шотмана  Санкт-Петербург Россия'];улица Шотмана  Санкт-Петербург Россия;улица Шотмана;улица Шотмана, Весёлый Посёлок, округ № 54, Санкт-Петербург, Северо-Западный федеральный округ, 193232, Россия;POINT (30.475575086832254 59.89985865569807);2022-02-23;Снег не убран у школы 34. Не пройти не проехать;Дороги;Невский;ПОС;1;100.0;№ 54
73;73;Шотмана ул 4;шотмана;4;улица;улица Шотмана 4 Санкт-Петербург Россия;['улица Шотмана 4 Санкт-Петербург Россия'];улица Шотмана 4 Санкт-Петербург Россия;улица Шотмана;4, улица Шотмана, Весёлый Посёлок, округ № 54, Санкт-Петербург, Северо-Западный федеральный округ, 193232, Россия;POINT (30.474623463191534 59.90092305);2022-02-23;Не убирается снег на придомовой территории по адресу Шотмана д4;Дороги;Невский;ПОС;1;100.0;№ 54
74;74;Гаккелевская ул 27к2;гаккелевская;;улица;Гаккелевская улица  Санкт-Петербург Россия;['Гаккелевская улица  Санкт-Петербург Россия'];Гаккелевская улица  Санкт-Петербург Россия;Гаккелевская улица;Гаккелевская улица, округ № 65, Санкт-Петербург, Северо-Западный федеральный округ, 197227, Россия;POINT (30.25643448611495 60.00296981964769);2022-02-23;Здравствуйте! Не убирается внутридворовая проезжая территория на улице Гаккелевская д.27/2. Прошу решить эту проблему. Спасибо.;Дороги;Приморский;ПОС;1;36.0;№ 65
75;75;Добровольцев ул 18;добровольцев;18;улица;улица Добровольцев 18 Санкт-Петербург Россия;['улица Добровольцев 18 Санкт-Петербург Россия'];улица Добровольцев 18 Санкт-Петербург Россия;улица Добровольцев;18, улица Добровольцев, Лигово, округ Урицк, Санкт-Петербург, Северо-Западный федеральный округ, 198329, Россия;POINT (30.1702093 59.83936425);2022-02-23;Просто не проехать! О разъезде двух автомобилей и речи нет!;Дороги;Красносельский;ПОС;1;32.0;Урицк
77;77;Гвардейская ул 8к2;гвардейская;8к2;улица;Гвардейская улица 8к2 Санкт-Петербург Россия;['Гвардейская улица 8к2 Санкт-Петербург Россия'];Гвардейская улица 8к2 Санкт-Петербург Россия;Гвардейская улица;8 к2, Гвардейская улица, Красное Село, Санкт-Петербург, Северо-Западный федеральный округ, 198320, Россия;POINT (30.086000144850168 59.735193949999996);2022-02-23;Проезд перед домом не убирали за зиму ни разу!!!! Толщина льда на поверхности больше 30 см. Образовалась колея в которой застревают машины. Моя мама подскользнулась там и сломала руку. Ужасная ситуация. Срочно примите меры!;Дороги;Красносельский;ПОС;1;17.0;Красное Село
79;79;Добровольцев ул 26;добровольцев;26;улица;улица Добровольцев 26 Санкт-Петербург Россия;['улица Добровольцев 26 Санкт-Петербург Россия'];улица Добровольцев 26 Санкт-Петербург Россия;улица Добровольцев;26, улица Добровольцев, Лигово, округ Урицк, Санкт-Петербург, Северо-Западный федеральный округ, 198329, Россия;POINT (30.16643406923248 59.836929);2022-02-23;Добрый день. Отчитались о проблеме,и фото приложили, только трактор к нам ни разу не приехал,и колии льда гигантские,машинам не припарковать! Может хоть раз почистят хорошо? Отобьют лед,вычистят дорогу. Можно и без фото,люди и так все видят!;Дороги;Красносельский;ПОС;1;32.0;Урицк
