;text
0;"Задавайте вопросы, делитесь ситуациями в соответствующих темах:
1. По частям магов, которые не являются колодостроительными - https://vk.com/topic-113113497_46930589
2. По первому Крутагидону - https://vk.com/topic-113113497_49216184
3. По Крутагидону 2: Чипсихоз - https://vk.com/topic-113113497_49216188
4. По Рику и Морти - https://vk.com/topic-113113497_49181844
Все правила в файлах группы
5*. С допом Братство - в 2 или 3, с чем замешиаали (если это имеет значение)

Так же есть альбом, если вдруг захотелось сфоткать расклад)
https://vk.com/album-113113497_275831554"
1;"Первый турнир по Крутагидону 25.01.2025 в Москве!🔥
Готовьте свои свитки и палочки, дамы и господа 😼
Ссылка для записи на турнир и больше информации в посте 👇

⚠️upd: из промо-карт официально локализована только одна - ""Последний смешок"". ХГ ответили, что остальные ""от комьюнити"", т. е. самоделки. 
Сообщаю, чтобы были в курсе, если кому важно)"
2;Попытайте удачу)
3;Если хотели что-то прикупить из настолок, успевайте до повышения цен 😒😒
4;"А вот и новость, хотя в продаже с пятницы 😁
Уже успел вчера протестировать 🔮
Первые впечатления положительные) Давно пора было ввести в заклинательных ЭСБМ жетоны дохлых колдунов, чтобы воскресать мгновенно.
Лично на мой взгляд, Крутагидоны не переплюнет, но для спелл-крафт серии достойный представитель, играть было вполне интересно. Так сказать, вернулся интерес к этим частям 😜"
5;"Эй, колдунишки, тссс, Hobby пока молчат, но я вижу: новую часть ЭСБМ 6 уже можно заказать, что я и сделал) Чего и вам советую 🤫
https://hobbygames.ru/jepichnie-shvatki-boevih-magov-izbienie-na-arene-hreni"
6;"В целом, вот так) 
Кто-то ещё приобрёл и ожидает свою коробочку? Вышло дороговато, конечно 🤑 
Надеялся/надеюсь на локализацию, пока больше года прошло с кика, думал о продаже, когда доедет..) Но так как с локализацией нет ясности, теперь не знаю 😅 
P.S. в комменты немного ""внутренностей"", красивых фоток не вышло))"
7;"Итак, Annihilageddon 3 с кикстартера добрался до меня 😈🔮
Наконец-то 😅⌛"
8;"Пока на этом всё. Ждём выхода в продажу, время летит, так что осталось не так много ждать ⌛🤔
И появятся картинки получше качеством))

P. S. И скоро уже должен приехать кикстартерный Крутагидон 3. Никто ещё не получил?"
9;"Арена Хрени, но какая же арена без чемпионов? 🏋
У каждого Чемпиона 4 эффекта.
🕺Заход. В начале каждого раунда выкладывается новая карта Чемпиона, и выполняется эффект Захода. Просто, но можно/нужно и огрести 🤕

🎢 Разгон! Если колдун сыграл карту Разгона со своим заклинанием, перед его применением он выполняет эффект Разгона Чемпиона!

💪 Слабо? Испытание, так сказать, от великих. В конце раунда каждый колдун(ы), который выполняет условия, получает 1 Жетон Фаната

⛔ Знак. Знак на карте Чемпиона добавляется к каждому заклинанию каждого колдуна в текущем раунде. Всё, что ещё ждали от знака?

Вот такие Чемпионы. Выглядит очень даже неплохо, как будет всё работать? Как обычно, проверим на практике 😎"
10;"Ну что, разогнались? 🤡 Двигаем дальше. Ещё одна механика Арены Хрени - эффекты и карты Разгона!
🎢 Карты Разгона встречаются в колоде заклинаний
🚀 Эффекты разгона бывают у заводил, наворотов, приходов и чемпионов (кого? 😯 позже о них)

Чтобы применить эффекты разгона, при составлении заклинания нужно сыграть карту разгона. Т. е. перед нами будет 1-3 карты заклинания в закрытую, плюс в открытую карта Разгона.
В таком случае, когда начинается ход колдуна, сначала применяется эффект Разгона Чемпиона (да кто же это? 😧), затем применяются эффекты разгона на картах в заклинании 👍

Если не выкладывали карту Разгон, то текст карты после слова ""разгон"" игнорируется 🚫

P. s. Можно разыграть несколько карт разгона, но я пока не понял, эффект разгона за каждую применяется или нет 🤔"
11;"Соответственно, а когда ты убиваешь колдуна, то получаешь Жетон Фаната 🥳, который прибавляет 2, 3 или 4 победных очка (как уж повезет🍀), и не показываешь его до конца игры.
Получить Жетон Фаната можно как-то и иными способами"
12;"Итак, новых механик в Арене Хрени не так много 🤗
Главное из них - жетоны дохлых колдунов (привет из Крутагидона 👋☠) вместо карт дохлых колдунов.

Теперь, когда колдун умирает, происходит следующее:
🏥 Жизней сразу становится 20
👐 Сбрасываются все карты с руки
💀 Берётся один жетон дохлого колдуна 
⚠️В отличие от остальных игр серии, когда ты подыхаешь, выложенное  заклинание, сокровища и твари остаются с тобой, а ты возвращаешься к жизни. Т. е. даже ход не пропускаешь, если ещё не кастовал заклинание в этом раунде⚠️

Каждый ЖДК отнимает 2 победных очка, но зато добавляет к каждому заклинанию один из 5 знаков школ магии 🔮"
13;"Скоро чуть подробнее рассмотрим механики шестой (😨) части spellcraft-серии Магов 🤓📃

Но пока интересует вопросик)
Когда локализовали Крутагидона, а было это после четырёх обычных частей ЭСБМ, стали играть практически только в него. Спеллкрафт части вспоминали очень редко, стали они казаться скучными, более скудными и однообразными что ли... А какие у вас мысли на этот счёт ? 🤔"
14;"Собственно, недавно увидел, что на страничке игры появились правила) Итак, вот они, правила к игре
Эпичные схватки боевых магов : Избиение на арене хрени! 🤯🤛🏟️🔮

https://hobbygames.ru/jepichnie-shvatki-boevih-magov-izbienie-na-arene-hreni"
15;Всем утречка, вот и понедельник, ну и... хрень 😏😏😏
16;"Как вы там, в этой жаре? 🥵 Будьте осторожны и пейте больше воды 🌊
А у нас тут ещё и огненная новость 😱
Без лишних слов 🔥"
17;"Что ж, у нас тут плохая, средняя и хорошая новости:
😭Крутагидона 3 нет в планах локализации у Hobby World
😐Так же не планируется коробочка для фамильяров и книг заклинаний
😄Но вот 6-ю часть Эпичных Схваток ждём в этом году
Такие дела 👀🔮"
18;"Второй турнир Лиги в ближайшее воскресенье 16 июня! 🧙
Для участия не забываем регистрироваться по форме)
🔮🔮🔮
Кто посещал первый турнир? Делитесь, как прошло? 👀"
19;"Ребята, новость-бомба! 🔥🔥🔥
В клубе Hobby Games на Ладожской у м. ""Бауманская"" в июне проходит Турнирная Лига по ""Эпичным Схваткам Боевых Магов"". 
9 июня пройдёт первый турнир! 😃
Подробности в посте

‼Чтобы участвовать в Лиге, нужно обязательно записаться в Гугл-форме по ссылке в посте!"
20;"Ничего срочного, просто кикстартерные коробочки отправились по миру 🚢, и уже ~в июле можно ожидать получение 😈
Кто-то ждёт свой заказик?) 

https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4119484?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
21;"Шестая часть спелл-крафт серии магов 📖🔮 Epic Spell Wars of the Battle Wizards: Anarchy at the Arena 🔥 в предзаказе на сайте разрабов!

Локализация, скорее всего, будет, но вряд ли раньше зимы 😤 В общем, ждём... 

А кто не хочет ждать, то вот (релиз в августе):
https://cryptozoic.com/products/epic-spell-wars-of-the-battle-wizards-anarchy-at-the-arena?mc_cid=44dcc451fd&mc_eid=f554b84ca4"
22;Вроде уже мелькали, но глянем ещё раз на несколько новеньких карт 🤗
23;"На сайте Cryptozoic открыт предзаказ на обычную версию Epic Spell Wars of the Battle Wizards: Annihilageddon 3 - Satanic Panic 😈
Дата выхода: август 2024
https://cryptozoic.com/products/epic-spell-wars-of-the-battle-wizards-annihilageddon-3-satanic-panic?mc_cid=8fa1e42fdd&mc_eid=f554b84ca4
🔥🔥🔥🔥
Нас ждут новые планшеты 🎩волшебников с их фамильярами и... с книгами заклинаний 📖 (да, это новый тип карт!), море новых жетонов дохлых колдунов 💀, возможность сыграть за Сотону, у которого огромный планшет, свои карты формата таро и пачка его банды демонов, куда ж без них 
🔥🔥🔥🔥
Так же вернулись легенды с групповыми атаками - легендарные демоны, ну и, конечно, новенькие карты основной колоды и адские беспределы. 
Мда, горячо. Самое неприятное, что локализацию неизвестно когда ждать 👿"
24;"Кстати, тут было обновление, в котором прикрепили руководство, как быть Сoтоной. Да, в третьем Крутагидоне можно будет за него играть, т.е. будет режим все против одного (или же всё равно все против всех, м?))
Рассылка кикстартерная начнётся в июне, как и говорили раньше.
Есть такие, кто вписывался в кампанию на кике по этой части?

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4103571?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
25;"Третья часть Крутагидона, 6 часть Битв Магов (спелл-крафт серия) и тома для хранения готовы! 
Завершился производственный процесс, и готовится отправка по всему миру. Ожидается, что все получат свои посылки в июле.

ВАЖНО, если кто вписывался на этот кикстартер: до 15 июня проверить адреса на BackerKit. Если ваш адрес изменился с тех пор, как вы заполнили анкету, обновите его как можно скорее.

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4099456?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
26;"В поисках главного приза, можно и из базового Крутагидона.
Может пропадет кто-то?
Также буду признателен, если поделитесь моделью для 3-D принтера"
27;"Может нужен кому ориг на английском кикстартерный?
Пишите в лс группы
(закинуто в обсуждение покупка/продажа)"
28;"В этот раз новость не в праздничный день, видимо, поэтому не очень хорошая.
На вопрос к издательству HW о локализации новых частей нашей говн... любимой игры, получил такой ответ (кстати, ответ дождался только спустя 4 недели 🐢). 

Лично я думаю, что и 3-й Крутагидон локализуют в итоге, но не раньше, чем через год."
29;"Интересно, апдейты приходят на праздники 😀
Ещё порция новых образцов)
На этот раз Epic Spell Wars: Anarchy at the Arena - шестая карточная игра серии по созданию заклинаний. Нас ждут не только новенькие привычные карты для заклинаний и сокровища, но и совершенно новые карты чемпионов, жетоны аплодисментов, раллийные карты, которые влияют на толпу.

Так же первые образцы Epic Spell Wars: Tome of Defecation Unification - ящик для хранения всех шести игр по создания заклинаний в коробке с магнитной защелкой и чехлом. (В этом образце нет всех флуоресцентных расцветок и причудливой фольги, которые будут в финальной версии).

Статья на кикстартере:
https://www.kickstarter.com/projects/cze/epic-spell-wars-of-the-battle-wizards-annihilageddon-3/posts/4035475?ref=ksr_email_mktg_auto_backer_project_update_registered_users"
