;text;geometry
847;"На Мельникова, Пролетарской, Маяковского и в мкрн.Планерная чаще всего нарушают правила парковки

За январь в Химках выписаны штрафы на 250000₽ за парковку у мусорных баков.
Камеры системы «Безопасный регион» зафиксировали 49 случаев несанкционированной парковки автомобилей у контейнерных площадок.

Наибольшее количество нарушений было выявлено по следующим адресам:

— проспект Мельникова, дом 2/1;
— улица Пролетарская, дом 9;
— улица Маяковского, дом 13;
— микрорайон Планерная, дома 19 и 20.

За парковку, мешающую работе ком.служб, предусмотрен штраф - 5000₽.";POINT (30.355502 59.936819)
858;"Дискотека в башнях №33,35,37 на Мельникова 🪩

Уже лет 5 эта проблема, если не больше)";POINT (30.317305 59.960706)
855;"А вот так по окнам жилых домов бьет лазерная реклама, которая находится где-то в районе ЖК 2 Столицы 

Снято с ул.Молодежная 74. Местные жители сообщают, что их это в конец достало. Мощные лазеры освещают комнаты каждую ночь.";POINT (30.099590 59.828695)
884;"От подписчицы:
______________
Огороженный участок земли (в районе домов ул. Дружбы д.10, Юбилейный проспект д.82а и д.82), переданный в аренду под застройку уже не совсем понятно чего именно, окончательно приходит в совершенно неприглядный вид. Забор местами просто лежит, на территорию заброшенного участка заходят подростки (сразу много вопросов - чем заняты), было несколько пожаров, и на протяжении всего времени здесь просто склад материалов. 

Очень хочется рядом с жилыми домами и школой видеть иную картину!!! Зеленый скверик был бы идеальным вариантом!";POINT (30.116918 59.789701)
894;"От подписчицы:
_____________
Ул. Дружбы 14.
Ещё до Нового года с торца дома перерыли тротуар для пешеходов.
Закопать закопали, а ходить где?
На улице всю зиму почти держится плюсовая температура, уже больше месяца практически вокруг всего дома грязища! Утром ребёнок только вышел из дома, а уже обувь/брюки грязные. 
Кто-нибудь наконец приведёт этот участок в порядок после себя?

(На 1 фото панорамы с Яндекс карт, как было до раскопок)";POINT (30.070978 59.723838)
929;В Юбилейном сквере на ул.Калинина уже подснежники полезли! Подснежники! В январе!;POINT (30.252285 59.896197)
950;"От подписчиков:
_____________
По адресу Маяковского 27 произошла утечка газа с критичными показателями. Химкинская аварийная служба сообщила, что надо перекрыть газ в 3 подъезде. И проверить в 1 и 2 подъездах внутридомовое оборудование.
А служба, которая обслуживает газовое оборудование в нашем доме - из Красногорска, и они прислали ремонтную бригаду.
По состоянию на 18:20 аварийка уехала, а газ в 3 подъезде не перекрыли… Находиться в доме страшно.";POINT (30.355628 59.940294)
970;"Картина маслом: «Уют по-химкински»

Панфилова, д.1";POINT (30.414818 59.952101)
992;"Сквер на Энгельса 26 сегодня начали ограждать забором

Как выяснилось, возле домов по адресу ул.Энгельса д.26 и ул.Ленинградская, д. 20, собираются строить некое здание. Участок с кадастровым номером 50:10:0010203:41.

Жители сегодня вышли против строительства, это единственная зеленая зона в районе. В сквере растёт много деревьев, живут белочки и птицы.

При этом, совсем недавно 15 января 2025 г вышло постановление главы Химок об отмене торгов по этому участку и об отмене аукциона на право заключения договора аренды данного участка…

А по неофициальной информации, здесь и вовсе планируют возвести здание прокуратуры";POINT (30.333906 60.051216)
1094;"Штраф до 5.000 рублей ждёт россиян за неправильную утилизацию ёлки

Отслужившие свой срок елки нельзя выбрасывать в обычный мусорный контейнер. Новогодние деревья относятся к крупногабаритным коммунальным отходам.

Ёлку необходимо распилить или разобрать, и аккуратно упаковать отдельные части.

Или отнести в контейнеры «Мегабак», которые находятся по следующим адресам в Химках:
- Старые Химки, ул. Мичурина, вблизи д. 4
- Новые Химки, ул. Машинцева, вблизи д. 9
- мкр. Планерная, д. 21
- мкр. Подрезково ул. Жаринова д. 10
- мкр. Сходня, ул. Новая, д. 1";POINT (30.216775 60.024360)
1103;"На Заводской, где ж/д пути, появилась очередная большая яма. Кто-то заботливо сделал ограждение из палочек и ленточки

Аккуратнее!

Update: яму оперативно залатали";POINT (30.294093 60.071932)
1245;"Как говорится, знай негодяев в лицо
Парочка воров обокрали магазин одежды на Маяковского, д.13

Как сообщает владелец торговой точки: «Магазин существует с 1994 года, а с таким ворьем уже и работать страшно и желание отбито».";POINT (30.355502 59.936819)
