Район;МО;Численность
Адмиралтейский район;сумм;154222
Адмиралтейский район;муниципальный округ Коломна;33530
Адмиралтейский район;муниципальный округ Сенной округ;20360
Адмиралтейский район;муниципальный округ Адмиралтейский округ;23945
Адмиралтейский район;муниципальный округ Семѐновский;22123
Адмиралтейский район;муниципальный округ Измайловское;32593
Адмиралтейский район;муниципальный округ Екатерингофский;21671
Василеостровский район;сумм;205398
Василеостровский район;муниципальный округ N 7;36091
Василеостровский район;муниципальный округ Васильевский;31425
Василеостровский район;муниципальный округ Гавань;41047
Василеостровский район;муниципальный округ Морской;36080
Василеостровский район;муниципальный округ Остров Декабристов;60755
Выборгский район;сумм;543567
Выборгский район;поселок Левашово;6101
Выборгский район;поселок Парголово;111145
Выборгский район;муниципальный округ Сампсониевское;39068
Выборгский район;муниципальный округ Светлановское;89796
Выборгский район;муниципальный округ Сосновское;60378
Выборгский район;муниципальный округ N 15;60902
Выборгский район;муниципальный округ Сергиевское;60031
Выборгский район;муниципальный округ Шувалово-Озерки;116146
Калининский район;сумм;530745
Калининский район;муниципальный округ Гражданка;67654
Калининский район;муниципальный округ Академическое;108549
Калининский район;муниципальный округ Финляндский округ;72078
Калининский район;муниципальный округ N 21;76567
Калининский район;муниципальный округ Пискаревка;81396
Калининский район;муниципальный округ Северный;48022
Калининский район;муниципальный округ Прометей;76479
Кировский район;сумм;330811
Кировский район;муниципальный округ Княжево;59699
Кировский район;муниципальный округ Ульянка;76019
Кировский район;муниципальный округ Дачное;70462
Кировский район;муниципальный округ Автово;42639
Кировский район;муниципальный округ Нарвский округ;33260
Кировский район;муниципальный округ Красненькая речка;38302
Кировский район;муниципальный округ Морские ворота;10430
Колпинский район;сумм;188153
Колпинский район;г. Колпино;145875
Колпинский район;поселок Металлострой;27407
Колпинский район;поселок Петро-Славянка;2097
Колпинский район;поселок Понтонный;8552
Колпинский район;поселок Саперный;1618
Колпинский район;поселок Усть-Ижора;2604
Красногвардейский район;сумм;365491
Красногвардейский район;муниципальный округ Полюстрово;75419
Красногвардейский район;муниципальный округ Большая Охта;57831
Красногвардейский район;муниципальный округ Малая Охта;43157
Красногвардейский район;муниципальный округ Пороховые;128099
Красногвардейский район;муниципальный округ Ржевка;60985
Красносельский район;сумм;434830
Красносельский район;г. Красное Село;60306
Красносельский район;муниципальный округ Юго-Запад;58402
Красносельский район;муниципальный округ Южно-Приморский;128489
Красносельский район;муниципальный округ Сосновая Поляна;73238
Красносельский район;муниципальный округ Урицк;50257
Красносельский район;муниципальный округ Константиновское;35619
Красносельский район;муниципальный округ Горелово;28519
Кронштадтский район;сумм;44515
Кронштадтский район;г. Кронштадт;44515
Курортный район;сумм;83742
Курортный район;г. Зеленогорск;15462
Курортный район;г. Сестрорецк;45935
Курортный район;поселок Белоостров;2440
Курортный район;поселок Комарово;1495
Курортный район;поселок Молодежное;1679
Курортный район;поселок Песочный;9869
Курортный район;поселок Репино;2940
Курортный район;поселок Серово;312
Курортный район;поселок Смолячково;815
Курортный район;поселок Солнечное;1992
Курортный район;поселок Ушково;803
Московский район;сумм;333156
Московский район;муниципальный округ Московская Застава;44916
Московский район;муниципальный округ Гагаринское;65624
Московский район;муниципальный округ Новоизмайловское;83316
Московский район;муниципальный округ Пулковский меридиан;45574
Московский район;муниципальный округ Звездное;93726
Невский район;сумм;548830
Невский район;муниципальный округ Невская застава;28050
Невский район;муниципальный округ Ивановский;27157
Невский район;муниципальный округ Обуховский;56679
Невский район;муниципальный округ Рыбацкое;70132
Невский район;муниципальный округ Народный;79762
Невский район;муниципальный округ N 54;67469
Невский район;муниципальный округ Невский округ;69494
Невский район;муниципальный округ Оккервиль;61924
Невский район;муниципальный округ Правобережный;88163
Петроградский район;сумм;115314
Петроградский район;муниципальный округ Введенский;15440
Петроградский район;муниципальный округ Кронверкское;16497
Петроградский район;муниципальный округ Посадский;15788
Петроградский район;муниципальный округ Аптекарский Остров;20583
Петроградский район;муниципальный округ округ Петровский;17453
Петроградский район;муниципальный округ Чкаловское;29553
Петродворцовый район;сумм;133171
Петродворцовый район;г. Ломоносов;38558
Петродворцовый район;г. Петергоф;80345
Петродворцовый район;поселок Стрельна;14268
Приморский район;сумм;704075
Приморский район;поселок Лисий Нос;6508
Приморский район;муниципальный округ Лахта -Ольгино;15567
Приморский район;муниципальный округ N 65;191571
Приморский район;муниципальный округ Ланское;70100
Приморский район;муниципальный округ Комендантский Аэродром;94400
Приморский район;муниципальный округ Озеро Долгое;91526
Приморский район;муниципальный округ Юнтолово;115111
Приморский район;муниципальный округ Коломяги;119292
Пушкинский район;сумм;270213
Пушкинский район;г. Павловск;18097
Пушкинский район;поселок Тярлево;1695
Пушкинский район;г. Пушкин;108470
Пушкинский район;поселок Александровская;3104
Пушкинский район;поселок Шушары;138847
Фрунзенский район;сумм;412919
Фрунзенский район;муниципальный округ Волковское;61193
Фрунзенский район;муниципальный округ N 72;67637
Фрунзенский район;муниципальный округ Купчино;55958
Фрунзенский район;муниципальный округ Георгиевский;92071
Фрунзенский район;муниципальный округ Александровский;62317
Фрунзенский район;муниципальный округ Балканский;73743
Центральный район;сумм;198611
Центральный район;муниципальный округ Дворцовый округ;7273
Центральный район;муниципальный округ N 78;8978
Центральный район;муниципальный округ Литейный округ;39745
Центральный район;муниципальный округ Смольнинское;73451
Центральный район;муниципальный округ Лиговка -Ямская;19437
Центральный район;муниципальный округ Владимирский округ;49727
